marketplace_listing_title,vehicle_exterior_color,vehicle_fuel_type,vehicle_make_display_name,vehicle_transmission_type,kms,price,state,year,vehicle_model_display_name_0,performance_metrics,luxury,size,body_style,drivetrain,vehicle_model_display_name
2017 Honda CRF,red,OTHER,HONDA,MANUAL,300,8500,VIC,2017,CRF,,,,,,CRF
2000 Toyota Camry,gold,PETROL,TOYOTA,AUTOMATIC,195194,4700,VIC,2000,Camry,2.5,2.5,3,Sedan,FWD,CAMRY
2023 MG ZS,blue,PETROL,MG,AUTOMATIC,27000,16500,NSW,2023,ZS,2.5,2.5,2,Compact SUV,FWD,ZS
2022 BMW S 1000,white,OTHER,BMW,MANUAL,6001,28000,NSW,2022,S 1000,4.8,4.5,2.0,Coupe,RWD,S-1000
2015 Hyundai i30,white,PETROL,HYUNDAI,MANUAL,195000,8500,NSW,2015,i30,2.5,2.0,2.0,Hatchback,FWD,I30
2017 Volkswagen Golf,white,PETROL,VOLKSWAGEN,AUTOMATIC,159000,9000,SA,2017,Golf,3.0,3.5,2.0,Hatchback,FWD,GOLF
2022 Honda CRF,red,OTHER,HONDA,MANUAL,1234,2500,WA,2022,CRF,,,,Motorcycle,,CRF
2024 Ford Ranger,white,PETROL,FORD,AUTOMATIC,44700,76950,WA,2024,Ranger,3.8,3.5,4.5,Dual-Cab UTE,4WD,RANGER
2024 Suzuki Vitara,beige,OTHER,SUZUKI,AUTOMATIC,28000,29000,WA,2024,Vitara,2.5,2.5,2,Compact SUV,AWD,VITARA
2015 Mercedes-Benz E250 Coupe,silver,PETROL,MERCEDES-BENZ,AUTOMATIC,120000,26000,WA,2015,e250 coupe,3.5,4.5,3.0,Coupe,RWD,E250
2014 Mazda Mazda3,grey,PETROL,MAZDA,AUTOMATIC,120000,13999,WA,2014,Mazda3,2.5,3.0,2.0,Hatchback,FWD,3
2015 Holden vf ss commodore,grey,PETROL,HOLDEN,AUTOMATIC,164000,27500,NSW,2015,vf ss commodore,4.0,3.5,4.0,Sedan,RWD,COMMODORE
2016 Isuzu D-Max,silver,DIESEL,ISUZU,AUTOMATIC,141000,37000,SA,2016,D-Max,3.5,2.5,4.0,Dual-Cab UTE,4WD,D-MAX
2014 Suzuki GSX-R,white,OTHER,SUZUKI,MANUAL,45000,10500,SA,2014,GSX-R,4.0,2.0,1.0,Coupe,RWD,GSX-R
2010 Ford Ranger,grey,DIESEL,FORD,AUTOMATIC,282759,10000,SA,2010,Ranger,3.0,2.0,4.0,Dual-Cab UTE,4WD,RANGER
2014 BMW X1,black,DIESEL,BMW,AUTOMATIC,156000,9200,NSW,2014,X1,2.5,3.5,2,Compact SUV,AWD,X1
2009 BMW f800st,silver,PETROL,BMW,MANUAL,91000,3400,NSW,2009,f800st,3.5,4.0,2.0,Coupe,RWD,F800ST
2014 Toyota Yaris,white,PETROL,TOYOTA,AUTOMATIC,236000,7800,SA,2014,Yaris,2.0,2.0,1.0,Hatchback,FWD,YARIS
2008 Toyota Camry,blue,PETROL,TOYOTA,AUTOMATIC,2570,4700,NSW,2008,Camry,2.5,3.0,3,Sedan,FWD,CAMRY
2011 Hyundai i45,white,PETROL,HYUNDAI,AUTOMATIC,198384,7000,NSW,2011,i45,2.5,2.5,3.0,Sedan,FWD,I45
2014 Hyundai i30,red,PETROL,HYUNDAI,AUTOMATIC,146000,9000,WA,2014,i30,2.5,2.5,2,Hatchback,FWD,I30
2020 KTM 1290,orange,OTHER,KTM,MANUAL,9800,19500,WA,2020,1290,5.0,4.5,2.0,Motorcycle,2WD,1290
2018 Peugeot 3008,white,PETROL,PEUGEOT,AUTOMATIC,140000,14500,WA,2018,3008,3.2,3.5,3,Medium SUV,FWD,3008
2015 Hyundai Accent,silver,PETROL,HYUNDAI,AUTOMATIC,120000,8500,WA,2015,Accent,2.0,2.0,2.0,Hatchback,FWD,ACCENT
2014 Mazda 3,white,OTHER,MAZDA,AUTOMATIC,158000,11700,SA,2014,Mazda3,3.0,3.0,2.0,Hatchback,FWD,3
2008 Mazda MX-5,silver,PETROL,MAZDA,MANUAL,187000,16000,SA,2008,MX-5,3.5,3.0,1.5,Convertible,RWD,MX-5
2015 Honda CR-V,grey,PETROL,HONDA,AUTOMATIC,190000,12900,NSW,2015,CR-V,2.5,3.0,3.0,Medium SUV,FWD,CR-V
2016 Ford Ranger,white,DIESEL,FORD,AUTOMATIC,200000,18000,WA,2016,Ranger,3.5,2.5,4.0,Dual-Cab UTE,4WD,RANGER
2024 Ford Ranger  Raptor,black,PETROL,FORD,AUTOMATIC,23000,84990,NSW,2024,raptor,4.5,4.0,4,Dual-Cab UTE,4WD,RANGER-RAPTOR
2006 KTM SX,orange,OTHER,KTM,MANUAL,200000,4000,WA,2006,SX,3.5,1.0,1.0,Motorcycle,2WD,SX
2012 Suzuki 650,blue,OTHER,SUZUKI,MANUAL,20842,6000,WA,2012,650,3.5,2.0,1.0,Motorcycle,2WD,650
2017 Hyundai Tucson,white,OTHER,HYUNDAI,AUTOMATIC,160000,7000,NSW,2017,Tucson,3.0,3.0,3.0,Compact SUV,FWD,TUCSON
2011 Toyota Kluger ,white,PETROL,TOYOTA,AUTOMATIC,274000,11900,NSW,2011,kluger,3.0,3.5,4.0,Large SUV,AWD,KLUGER
2016 Honda HR-V,black,PETROL,HONDA,AUTOMATIC,155500,16000,NSW,2016,HR-V,2.5,3.0,2.0,Compact SUV,FWD,HR-V
2017 Mazda BT-50,silver,DIESEL,MAZDA,MANUAL,92000,23500,NSW,2017,BT-50,3.0,2.5,4.0,Dual-Cab UTE,4WD,BT-50
2024 KTM 450,orange,OTHER,KTM,MANUAL,300,9500,WA,2024,450,4.5,2.0,2.0,Dual-Cab UTE,4WD,450
2015 Holden Commodore,white,PETROL,HOLDEN,AUTOMATIC,150000,25000,VIC,2015,Commodore,3.5,2.5,4,Sedan,RWD,COMMODORE
2014 KTM 450exc,black,OTHER,KTM,MANUAL,5836,4500,VIC,2014,450exc,4.0,1.5,1.0,Motorcycle,4WD,450EXC
2001 Ford Falcon,yellow,PETROL,FORD,AUTOMATIC,380000,12000,NSW,2001,Falcon,3.2,2.5,4,Sedan,RWD,FALCON
2017 Subaru WRX,grey,PETROL,SUBARU,MANUAL,31740,45000,VIC,2017,WRX,4.0,2.5,2,Sedan,AWD,WRX
2018 Ford Ranger,grey,DIESEL,FORD,AUTOMATIC,100000,39000,QLD,2018,Ranger,3.5,3.0,4.0,Dual-Cab UTE,4WD,RANGER
2022 Hyundai Kona N,blue,PETROL,HYUNDAI,AUTOMATIC,26500,39000,QLD,2022,kona n,4.5,3.5,2.0,Compact SUV,AWD,KONA-N
2000 Ford  Falcon,silver,PETROL,FORD,AUTOMATIC,10000,4500,QLD,2000,Falcon,3.0,2.0,4.0,Sedan,RWD,FALCON
2007 Isuzu Fvr950,white,DIESEL,ISUZU,MANUAL,65000,26000,QLD,2007,fvr950,2.5,1.0,5.0,Truck,4WD,FVR950
2015 Toyota Corolla,white,OTHER,TOYOTA,AUTOMATIC,165112,13500,QLD,2015,Corolla,2.5,2.0,2.0,Sedan,FWD,COROLLA
2018 Ford Mustang,black,DIESEL,FORD,AUTOMATIC,60000,39990,QLD,2018,Mustang,3.5,3.5,3,Coupe,RWD,MUSTANG
2019 Hyundai i30,grey,PETROL,HYUNDAI,AUTOMATIC,87130,16000,QLD,2019,i30,3.0,2.5,2.0,Hatchback,FWD,I30
2014 Toyota Landcruiser Prado,brown,DIESEL,TOYOTA,AUTOMATIC,148500,35500,QLD,2014,Landcruiser Prado,3.5,3.5,4,Large SUV,4WD,LANDCRUISER-PRADO
2009 Toyota Corolla,white,PETROL,TOYOTA,AUTOMATIC,224000,5800,SA,2009,Corolla,2.5,2.0,2.0,Hatchback,FWD,COROLLA
2019 KTM SX,orange,OTHER,KTM,MANUAL,1234,2600,QLD,2019,SX,4.5,1.0,1.0,Motorcycle,Other,SX
2008 Suzuki SV650,silver,OTHER,SUZUKI,MANUAL,52000,3800,SA,2008,SV650,3.5,2.0,1.0,Motorcycle,RWD,SV650
2004 Suzuki SV650,yellow,OTHER,SUZUKI,MANUAL,60000,5400,SA,2004,SV650,3.5,1.5,1.0,Coupe,RWD,SV650
2009 Suzuki Grand Vitara,silver,PETROL,SUZUKI,AUTOMATIC,198000,11500,SA,2009,Grand Vitara,2.5,2.0,3.0,SUV,4WD,GRAND-VITARA
2007 Suzuki GSX-R,blue,OTHER,SUZUKI,MANUAL,54843,6500,SA,2007,GSX-R,4.5,2.0,1.0,Coupe,RWD,GSX-R
2009 Mercedes-Benz C63 AMG ,grey,PETROL,MERCEDES-BENZ,AUTOMATIC,137000,38000,SA,2009,c-class,4.8,4.5,3.0,Sedan,RWD,C63-AMG
2000 Hyundai Hyundai FX,silver,PETROL,HYUNDAI,AUTOMATIC,125000,2666,SA,2000,Hyundai FX,2.5,2.0,3.0,Liftback,FWD,HYUNDAI-FX
2021 Mercedes-Benz actros 2658,white,DIESEL,MERCEDES-BENZ,MANUAL,404000,200000,SA,2021,actros 2658,4.5,4.0,5,Truck,RWD,ACTROS
2016 Suzuki Swift,white,PETROL,SUZUKI,AUTOMATIC,167000,9990,NSW,2016,Swift,2.5,2.0,1.0,Hatchback,FWD,SWIFT
2012 Toyota Camry,white,HYBRID,TOYOTA,AUTOMATIC,18240,11500,NSW,2012,Camry,3.0,3.0,3.0,Sedan,FWD,CAMRY
2013 Lexus Lexus IS 250,black,PETROL,LEXUS,AUTOMATIC,134000,20000,WA,2013,Lexus IS 250,2.5,4.0,3.0,Sedan,RWD,IS-250
2014 Suzuki RM-Z,white,OTHER,SUZUKI,MANUAL,2500,3200,QLD,2014,RM-Z,3.0,1.0,1.0,Dual-Cab UTE,4WD,RM-Z
2011 Volkswagen Tiguan,black,PETROL,VOLKSWAGEN,AUTOMATIC,161514,6000,QLD,2011,Tiguan,3.0,3.5,3.0,Compact SUV,AWD,TIGUAN
2015 Mercedes-Benz Valente,white,DIESEL,MERCEDES-BENZ,AUTOMATIC,95000,24500,QLD,2015,Valente,3.0,4.0,5.0,Passenger van,RWD,VALENTE
2001 Honda CR,red,OTHER,HONDA,MANUAL,1000,5000,QLD,2001,CR,2.0,2.5,2.0,Compact SUV,4WD,CR-V
2010 Honda Civic,grey,PETROL,HONDA,AUTOMATIC,140000,7500,QLD,2010,Civic,2.5,2.5,2,Sedan,FWD,CIVIC
2025 Chevrolet Silverado,black,DIESEL,CHEVROLET,AUTOMATIC,2000,200000,QLD,2025,Silverado,4.0,3.5,5.0,Dual-Cab UTE,4WD,SILVERADO
2018 Kia Optima,grey,PETROL,KIA,AUTOMATIC,184000,10000,QLD,2018,Optima,3.0,3.5,3.0,Sedan,FWD,OPTIMA
2022 Mazda Mazda2,silver,PETROL,MAZDA,AUTOMATIC,40000,20900,NSW,2022,mazda2,2.0,2.5,1.0,Hatchback,FWD,MAZDA2
2014 Hyundai i30,white,PETROL,HYUNDAI,AUTOMATIC,63648,12500,WA,2014,i30,2.5,2.5,2,Hatchback,FWD,I30
2015 KTM SX,orange,OTHER,KTM,MANUAL,300,2800,WA,2015,SX,5.0,1.0,1.0,Motorcycle,4WD,SX
2009 Toyota Hilux,grey,OTHER,TOYOTA,AUTOMATIC,303000,12500,NSW,2009,Hilux,2.5,2.0,4.0,Dual-Cab UTE,4WD,HILUX
2011 Volkswagen Golf GTI,red,PETROL,VOLKSWAGEN,AUTOMATIC,219852,8950,WA,2011,Golf,4.0,3.5,2.0,Hatchback,FWD,GOLF-GTI
2012 BMW X1,white,DIESEL,BMW,AUTOMATIC,197000,6700,NSW,2012,X1,3.5,4.0,2.0,Compact SUV,AWD,X1
2013 Honda Accord,grey,PETROL,HONDA,AUTOMATIC,154894,4000,VIC,2013,Accord,3.0,3.5,3,Sedan,FWD,ACCORD
2013 Volkswagen Beetle,black,DIESEL,VOLKSWAGEN,MANUAL,147250,2500,SA,2013,Beetle,3.0,3.0,2.0,Hatchback,FWD,BEETLE
2019 Holden Acadia 3.6,silver,OTHER,HOLDEN,AUTOMATIC,60000,7000,VIC,2019,acadia 3.6,3.5,3.0,4.0,Large SUV,AWD,ACADIA
2018 Nissan Navara,white,DIESEL,NISSAN,AUTOMATIC,240000,23990,VIC,2018,Navara,3.0,2.5,4.0,Dual-Cab UTE,4WD,NAVARA
2012 Ford Focus,blue,PETROL,FORD,AUTOMATIC,143000,3500,VIC,2012,Focus,3.0,2.5,2.0,Hatchback,FWD,FOCUS
2012 Toyota Hiace,white,DIESEL,TOYOTA,AUTOMATIC,270000,18000,SA,2012,Hiace,2.5,2.0,4.0,Cargo van,RWD,HIACE
2006 Honda VTR ,black,OTHER,HONDA,MANUAL,65000,4000,SA,2006,vtr,2.5,2.0,2.0,Liftback,FWD,VTR
2016 Volkswagen Amarok,white,DIESEL,VOLKSWAGEN,AUTOMATIC,168000,16900,SA,2016,Amarok,3.5,3.0,4.0,Dual-Cab UTE,4WD,AMAROK
2011 Mazda Mazda3,silver,PETROL,MAZDA,AUTOMATIC,206000,8799,SA,2011,Mazda3,3.0,2.5,2.0,Hatchback,FWD,3
2007 Ford Falcon,white,PETROL,FORD,AUTOMATIC,205782,2500,WA,2007,Falcon,3.0,2.5,4.0,Sedan,RWD,FALCON
2011 Jeep 5.7 grand cherokee,black,PETROL,JEEP,AUTOMATIC,250000,5000,WA,2011,5.7 grand cherokee,4.0,3.5,4.0,Large SUV,4WD,GRAND-CHEROKEE
2003 HSV Clubsport,grey,PETROL,HSV,AUTOMATIC,167000,31000,WA,2003,Club Sport,4.5,4.0,4.0,Sedan,RWD,CLUBSPORT
2021 Hyundai Sonata,white,PETROL,HYUNDAI,AUTOMATIC,58000,28000,QLD,2021,Sonata,3.5,4.0,3.0,Sedan,FWD,SONATA
2010 Holden Ute,red,PETROL,HOLDEN,AUTOMATIC,190995,20000,QLD,2010,Ute,3.5,2.5,4.0,UTE,RWD,UTE
2011 Audi Q5,white,DIESEL,AUDI,AUTOMATIC,161854,8999,QLD,2011,Q5,3.0,4.0,3.0,Medium SUV,AWD,Q5
2020 Land Rover Defender,white,DIESEL,LAND-ROVER,AUTOMATIC,117000,76900,QLD,2020,Defender,4.0,4.5,4.0,Large SUV,4WD,DEFENDER
2005 Toyota Corolla,blue,PETROL,TOYOTA,MANUAL,363100,2990,QLD,2005,Corolla,2.5,2.0,2.0,Sedan,FWD,COROLLA
2017 Iveco 55-170 4x4,white,DIESEL,IVECO,MANUAL,165000,67000,QLD,2017,55-170 4x4,2.5,1.5,5.0,Truck,4WD,55-170
2017 Toyota Hiace,white,DIESEL,TOYOTA,MANUAL,205000,22250,SA,2017,Hiace,2.5,1.5,4.0,Cargo van,RWD,HIACE
2019 Mazda CX-3,grey,PETROL,MAZDA,MANUAL,66000,20000,SA,2019,CX-3,2.5,3.0,2.0,Compact SUV,FWD,CX-3
2013 Hyundai i20,red,PETROL,HYUNDAI,MANUAL,132890,2500,SA,2013,i20,2.0,2.0,1.0,Hatchback,FWD,I20
