marketplace_listing_title,vehicle_exterior_color,vehicle_fuel_type,vehicle_make_display_name,vehicle_transmission_type,kms,price,state,year,vehicle_model_display_name_0,performance_metrics,luxury,size,body_style,drivetrain,vehicle_model_display_name,description
2014 Hyundai Veloster,white,OTHER,HYUNDAI,AUTOMATIC,164248,11500,NSW,2014,Veloster,2.5,2.5,2.0,Liftback,FWD,VELOSTER,VELOSTER
2005 Nissan Pulsar,gold,OTHER,NISSAN,AUTOMATIC,170000,3500,NSW,2005,Pulsar,2.5,2.0,2.0,Hatchback,FWD,PULSAR,PULSAR
2022 Haval h6gt,black,PETROL,HAVAL,AUTOMATIC,20000,32000,NSW,2022,h6gt,3.0,3.5,3.5,Liftback,AWD,H6,H6GT
2017 Toyota Corolla,blue,PETROL,TOYOTA,AUTOMATIC,210000,14000,NSW,2017,Corolla,2.5,3.0,2.0,Hatchback,FWD,COROLLA,COROLLA
2011 BMW X6,white,DIESEL,BMW,AUTOMATIC,100000,16000,VIC,2011,X6,4.0,4.5,4.0,SUV,AWD,X6,X6
2023 Volkswagen t-roc,grey,PETROL,VOLKSWAGEN,AUTOMATIC,31500,34500,VIC,2023,t-roc,3.0,3.5,2.0,Compact SUV,FWD,T-ROC,T-ROC
2017 Subaru Impreza,grey,PETROL,SUBARU,AUTOMATIC,235000,10000,VIC,2017,Impreza,3.0,2.5,2.0,Hatchback,AWD,IMPREZA,IMPREZA
2015 Renault Master,white,ELECTRIC,RENAULT,AUTOMATIC,302700,16500,VIC,2015,Master,1.0,1.0,5.0,Cargo Van,FWD,MASTER,MASTER
2004 Ford Falcon XR8,blue,PETROL,FORD,AUTOMATIC,270000,14500,VIC,2004,falcon xr8,4.5,3.5,4.0,Sedan,RWD,FALCON,FALCON-XR8
2020 Haval H6,white,PETROL,HAVAL,AUTOMATIC,340000,8000,VIC,2020,h6,3.0,3.0,3.0,SUV,FWD,H6,H6
2002 Ford Falcon,purple,OTHER,FORD,AUTOMATIC,406000,2500,SA,2002,Falcon,3.0,2.5,4.0,Sedan,RWD,FALCON,FALCON
2022 Toyota Kluger ,blue,HYBRID,TOYOTA,AUTOMATIC,30000,48000,SA,2022,kluger,4.0,3.5,4.0,Large SUV,AWD,KLUGER,KLUGER
2013 Ford Kuga,white,PETROL,FORD,AUTOMATIC,200600,3000,SA,2013,Kuga,3.0,3.0,3.0,Compact SUV,AWD,KUGA,KUGA
2016 Hyundai Tucson,white,PETROL,HYUNDAI,AUTOMATIC,125000,13500,SA,2016,Tucson,2.5,3.5,3.0,Compact SUV,FWD,TUCSON,TUCSON
2008 Toyota Landcruiser 200,blue,DIESEL,TOYOTA,AUTOMATIC,387000,31990,SA,2008,Landcruiser 200,3.5,4.0,5.0,Large SUV,4WD,LAND-CRUISER,LAND-CRUISER
2016 Isuzu D-Max,white,DIESEL,ISUZU,AUTOMATIC,241000,15800,QLD,2016,D-Max,3.5,2.5,4.0,Dual-Cab UTE,4WD,D-MAX,D-MAX
2015 Nissan Qashqai,white,PETROL,NISSAN,AUTOMATIC,140000,9200,QLD,2015,Qashqai,2.5,2.5,2.5,Compact SUV,FWD,QASHQAI,QASHQAI
2016 Mazda BT-50,white,DIESEL,MAZDA,MANUAL,181000,19990,QLD,2016,BT-50,3.5,3.0,4.5,Dual-Cab UTE,4WD,BT-50,BT-50
2013 Ford Focus,grey,PETROL,FORD,AUTOMATIC,163800,6000,SA,2013,Focus,2.8,2.5,2.0,Hatchback,FWD,FOCUS,FOCUS
2008 Mazda CX-9,white,PETROL,MAZDA,AUTOMATIC,205078,3300,NSW,2008,CX-9,3.5,3.5,4.0,Large SUV,AWD,CX-9,CX-9
2010 Volkswagen Passat,grey,PETROL,VOLKSWAGEN,AUTOMATIC,158100,6500,NSW,2010,Passat,3.0,3.5,3.0,Sedan,FWD,PASSAT,PASSAT
2013 Audi A3,grey,PETROL,AUDI,AUTOMATIC,199000,8300,VIC,2013,A3,3.0,4.0,2.0,Hatchback,FWD,A3,A3
2007 Ford Falcon,white,PETROL,FORD,AUTOMATIC,221971,8499,VIC,2007,Falcon,3.0,2.5,4.0,Sedan,RWD,FALCON,FALCON
2009 MINI Cooper,grey,PETROL,MINI,AUTOMATIC,176000,6900,SA,2009,Cooper,3.0,3.5,1.0,Hatchback,FWD,COOPER,COOPER
2010 Suzuki SX4,white,OTHER,SUZUKI,AUTOMATIC,141000,8950,SA,2010,SX4,2.5,2.0,2.0,Hatchback,AWD,SX4,SX4
2019 Kia Seltos,white,PETROL,KIA,AUTOMATIC,125000,19990,SA,2019,seltos,3.2,3.5,2.5,Compact SUV,FWD,SELTOS,SELTOS
2014 Holden Commodore,red,PETROL,HOLDEN,AUTOMATIC,168397,34000,QLD,2014,Commodore,3.5,3.0,4.0,Sedan,RWD,COMMODORE,COMMODORE
2005 Toyota Crown,white,PETROL,TOYOTA,AUTOMATIC,197000,11000,SA,2005,Crown,2.5,3.0,3.5,Sedan,RWD,CROWN,CROWN
2005 Toyota RAV4,white,PETROL,TOYOTA,AUTOMATIC,282000,3900,QLD,2005,RAV4,3.0,3.0,2.0,Compact SUV,AWD,RAV4,RAV4
2011 Holden Commodore,silver,PETROL,HOLDEN,AUTOMATIC,169000,8500,SA,2011,Commodore,3.0,2.5,4.0,Sedan,RWD,COMMODORE,COMMODORE
2014 Toyota Corolla Ascent,white,OTHER,TOYOTA,AUTOMATIC,183300,9600,SA,2014,Corolla,2.5,2.0,2.0,Hatchback,FWD,COROLLA,COROLLA
2010 Honda Accord,white,PETROL,HONDA,AUTOMATIC,255000,5500,QLD,2010,Accord,3.0,3.5,3.0,Sedan,FWD,ACCORD,ACCORD
2019 Subaru Outback,white,PETROL,SUBARU,AUTOMATIC,38000,18500,QLD,2019,Outback,3.2,3.5,4.0,Crossover,AWD,OUTBACK,OUTBACK
2012 Kia Rio,black,PETROL,KIA,MANUAL,159300,5800,QLD,2012,Rio,2.5,2.0,1.0,Hatchback,FWD,RIO,RIO
2011 Kia Sorento,brown,PETROL,KIA,AUTOMATIC,141194,11000,VIC,2011,Sorento,2.5,3.0,4.0,Large SUV,4WD,SORENTO,SORENTO
2000 Toyota Camry,gold,PETROL,TOYOTA,AUTOMATIC,195194,4700,VIC,2000,Camry,2.5,2.5,3.0,Sedan,FWD,CAMRY,CAMRY
2023 MG ZS,blue,PETROL,MG,AUTOMATIC,27000,16500,NSW,2023,ZS,2.5,2.5,2.0,Compact SUV,FWD,ZS,ZS
2015 Hyundai i30,white,PETROL,HYUNDAI,MANUAL,195000,8500,NSW,2015,i30,2.5,2.0,2.0,Hatchback,FWD,I30,I30
2017 Volkswagen Golf,white,PETROL,VOLKSWAGEN,AUTOMATIC,159000,9000,SA,2017,Golf,3.0,3.5,2.0,Hatchback,FWD,GOLF,GOLF
2024 Ford Ranger,white,PETROL,FORD,AUTOMATIC,44700,76950,WA,2024,Ranger,3.8,3.5,4.5,Dual-Cab UTE,4WD,RANGER,RANGER
2024 Suzuki Vitara,beige,OTHER,SUZUKI,AUTOMATIC,28000,29000,WA,2024,Vitara,2.5,2.5,2.0,Compact SUV,AWD,VITARA,VITARA
2015 Holden vf ss commodore,grey,PETROL,HOLDEN,AUTOMATIC,164000,27500,NSW,2015,vf ss commodore,4.0,3.5,4.0,Sedan,RWD,COMMODORE,COMMODORE
2016 Isuzu D-Max,silver,DIESEL,ISUZU,AUTOMATIC,141000,37000,SA,2016,D-Max,3.5,2.5,4.0,Dual-Cab UTE,4WD,D-MAX,D-MAX
2010 Ford Ranger,grey,DIESEL,FORD,AUTOMATIC,282759,10000,SA,2010,Ranger,3.0,2.0,4.0,Dual-Cab UTE,4WD,RANGER,RANGER
2014 BMW X1,black,DIESEL,BMW,AUTOMATIC,156000,9200,NSW,2014,X1,2.5,3.5,2.0,Compact SUV,AWD,X1,X1
2014 Toyota Yaris,white,PETROL,TOYOTA,AUTOMATIC,236000,7800,SA,2014,Yaris,2.0,2.0,1.0,Hatchback,FWD,YARIS,YARIS
2008 Toyota Camry,blue,PETROL,TOYOTA,AUTOMATIC,2570,4700,NSW,2008,Camry,2.5,3.0,3.0,Sedan,FWD,CAMRY,CAMRY
2011 Hyundai i45,white,PETROL,HYUNDAI,AUTOMATIC,198384,7000,NSW,2011,i45,2.5,2.5,3.0,Sedan,FWD,I45,I45
2014 Hyundai i30,red,PETROL,HYUNDAI,AUTOMATIC,146000,9000,WA,2014,i30,2.5,2.5,2.0,Hatchback,FWD,I30,I30
2015 Hyundai Accent,silver,PETROL,HYUNDAI,AUTOMATIC,120000,8500,WA,2015,Accent,2.0,2.0,2.0,Hatchback,FWD,ACCENT,ACCENT
2008 Mazda MX-5,silver,PETROL,MAZDA,MANUAL,187000,16000,SA,2008,MX-5,3.5,3.0,1.5,Convertible,RWD,MX-5,MX-5
2015 Honda CR-V,grey,PETROL,HONDA,AUTOMATIC,190000,12900,NSW,2015,CR-V,2.5,3.0,3.0,Medium SUV,FWD,CR-V,CR-V
2016 Ford Ranger,white,DIESEL,FORD,AUTOMATIC,200000,18000,WA,2016,Ranger,3.5,2.5,4.0,Dual-Cab UTE,4WD,RANGER,RANGER
2024 Ford Ranger  Raptor,black,PETROL,FORD,AUTOMATIC,23000,84990,NSW,2024,raptor,4.5,4.0,4.0,Dual-Cab UTE,4WD,RANGER,RANGER-RAPTOR
2017 Hyundai Tucson,white,OTHER,HYUNDAI,AUTOMATIC,160000,7000,NSW,2017,Tucson,3.0,3.0,3.0,Compact SUV,FWD,TUCSON,TUCSON
2011 Toyota Kluger ,white,PETROL,TOYOTA,AUTOMATIC,274000,11900,NSW,2011,kluger,3.0,3.5,4.0,Large SUV,AWD,KLUGER,KLUGER
2016 Honda HR-V,black,PETROL,HONDA,AUTOMATIC,155500,16000,NSW,2016,HR-V,2.5,3.0,2.0,Compact SUV,FWD,HR-V,HR-V
2017 Mazda BT-50,silver,DIESEL,MAZDA,MANUAL,92000,23500,NSW,2017,BT-50,3.0,2.5,4.0,Dual-Cab UTE,4WD,BT-50,BT-50
2015 Holden Commodore,white,PETROL,HOLDEN,AUTOMATIC,150000,25000,VIC,2015,Commodore,3.5,2.5,4.0,Sedan,RWD,COMMODORE,COMMODORE
2001 Ford Falcon,yellow,PETROL,FORD,AUTOMATIC,380000,12000,NSW,2001,Falcon,3.2,2.5,4.0,Sedan,RWD,FALCON,FALCON
2017 Subaru WRX,grey,PETROL,SUBARU,MANUAL,31740,45000,VIC,2017,WRX,4.0,2.5,2.0,Sedan,AWD,WRX,WRX
2018 Ford Ranger,grey,DIESEL,FORD,AUTOMATIC,100000,39000,QLD,2018,Ranger,3.5,3.0,4.0,Dual-Cab UTE,4WD,RANGER,RANGER
2022 Hyundai Kona N,blue,PETROL,HYUNDAI,AUTOMATIC,26500,39000,QLD,2022,kona n,4.5,3.5,2.0,Compact SUV,AWD,KONA,KONA-N
2000 Ford  Falcon,silver,PETROL,FORD,AUTOMATIC,10000,4500,QLD,2000,Falcon,3.0,2.0,4.0,Sedan,RWD,FALCON,FALCON
2015 Toyota Corolla,white,OTHER,TOYOTA,AUTOMATIC,165112,13500,QLD,2015,Corolla,2.5,2.0,2.0,Sedan,FWD,COROLLA,COROLLA
2018 Ford Mustang,black,DIESEL,FORD,AUTOMATIC,60000,39990,QLD,2018,Mustang,3.5,3.5,3.0,Coupe,RWD,MUSTANG,MUSTANG
2019 Hyundai i30,grey,PETROL,HYUNDAI,AUTOMATIC,87130,16000,QLD,2019,i30,3.0,2.5,2.0,Hatchback,FWD,I30,I30
2014 Toyota Landcruiser Prado,brown,DIESEL,TOYOTA,AUTOMATIC,148500,35500,QLD,2014,Landcruiser Prado,3.5,3.5,4.0,Large SUV,4WD,LANDCRUISER,LANDCRUISER-PRADO
2009 Toyota Corolla,white,PETROL,TOYOTA,AUTOMATIC,224000,5800,SA,2009,Corolla,2.5,2.0,2.0,Hatchback,FWD,COROLLA,COROLLA
2009 Suzuki Grand Vitara,silver,PETROL,SUZUKI,AUTOMATIC,198000,11500,SA,2009,Grand Vitara,2.5,2.0,3.0,SUV,4WD,GRAND-VITARA,GRAND-VITARA
2016 Suzuki Swift,white,PETROL,SUZUKI,AUTOMATIC,167000,9990,NSW,2016,Swift,2.5,2.0,1.0,Hatchback,FWD,SWIFT,SWIFT
2012 Toyota Camry,white,HYBRID,TOYOTA,AUTOMATIC,18240,11500,NSW,2012,Camry,3.0,3.0,3.0,Sedan,FWD,CAMRY,CAMRY
2013 Lexus Lexus IS 250,black,PETROL,LEXUS,AUTOMATIC,134000,20000,WA,2013,Lexus IS 250,2.5,4.0,3.0,Sedan,RWD,IS,IS-250
2011 Volkswagen Tiguan,black,PETROL,VOLKSWAGEN,AUTOMATIC,161514,6000,QLD,2011,Tiguan,3.0,3.5,3.0,Compact SUV,AWD,TIGUAN,TIGUAN
2001 Honda CR,red,OTHER,HONDA,MANUAL,1000,5000,QLD,2001,CR,2.0,2.5,2.0,Compact SUV,4WD,CR-V,CR-V
2010 Honda Civic,grey,PETROL,HONDA,AUTOMATIC,140000,7500,QLD,2010,Civic,2.5,2.5,2.0,Sedan,FWD,CIVIC,CIVIC
2025 Chevrolet Silverado,black,DIESEL,CHEVROLET,AUTOMATIC,2000,200000,QLD,2025,Silverado,4.0,3.5,5.0,Dual-Cab UTE,4WD,SILVERADO,SILVERADO
2018 Kia Optima,grey,PETROL,KIA,AUTOMATIC,184000,10000,QLD,2018,Optima,3.0,3.5,3.0,Sedan,FWD,OPTIMA,OPTIMA
2014 Hyundai i30,white,PETROL,HYUNDAI,AUTOMATIC,63648,12500,WA,2014,i30,2.5,2.5,2.0,Hatchback,FWD,I30,I30
2009 Toyota Hilux,grey,OTHER,TOYOTA,AUTOMATIC,303000,12500,NSW,2009,Hilux,2.5,2.0,4.0,Dual-Cab UTE,4WD,HILUX,HILUX
2011 Volkswagen Golf GTI,red,PETROL,VOLKSWAGEN,AUTOMATIC,219852,8950,WA,2011,Golf,4.0,3.5,2.0,Hatchback,FWD,GOLF,GOLF-GTI
2012 BMW X1,white,DIESEL,BMW,AUTOMATIC,197000,6700,NSW,2012,X1,3.5,4.0,2.0,Compact SUV,AWD,X1,X1
2013 Honda Accord,grey,PETROL,HONDA,AUTOMATIC,154894,4000,VIC,2013,Accord,3.0,3.5,3.0,Sedan,FWD,ACCORD,ACCORD
2019 Holden Acadia 3.6,silver,OTHER,HOLDEN,AUTOMATIC,60000,7000,VIC,2019,acadia 3.6,3.5,3.0,4.0,Large SUV,AWD,ACADIA,ACADIA
2018 Nissan Navara,white,DIESEL,NISSAN,AUTOMATIC,240000,23990,VIC,2018,Navara,3.0,2.5,4.0,Dual-Cab UTE,4WD,NAVARA,NAVARA
2012 Ford Focus,blue,PETROL,FORD,AUTOMATIC,143000,3500,VIC,2012,Focus,3.0,2.5,2.0,Hatchback,FWD,FOCUS,FOCUS
2012 Toyota Hiace,white,DIESEL,TOYOTA,AUTOMATIC,270000,18000,SA,2012,Hiace,2.5,2.0,4.0,Cargo van,RWD,HIACE,HIACE
2016 Volkswagen Amarok,white,DIESEL,VOLKSWAGEN,AUTOMATIC,168000,16900,SA,2016,Amarok,3.5,3.0,4.0,Dual-Cab UTE,4WD,AMAROK,AMAROK
2007 Ford Falcon,white,PETROL,FORD,AUTOMATIC,205782,2500,WA,2007,Falcon,3.0,2.5,4.0,Sedan,RWD,FALCON,FALCON
2011 Jeep 5.7 grand cherokee,black,PETROL,JEEP,AUTOMATIC,250000,5000,WA,2011,5.7 grand cherokee,4.0,3.5,4.0,Large SUV,4WD,GRAND-CHEROKEE,GRAND-CHEROKEE
2021 Hyundai Sonata,white,PETROL,HYUNDAI,AUTOMATIC,58000,28000,QLD,2021,Sonata,3.5,4.0,3.0,Sedan,FWD,SONATA,SONATA
2010 Holden Ute,red,PETROL,HOLDEN,AUTOMATIC,190995,20000,QLD,2010,Ute,3.5,2.5,4.0,UTE,RWD,UTE,UTE
2011 Audi Q5,white,DIESEL,AUDI,AUTOMATIC,161854,8999,QLD,2011,Q5,3.0,4.0,3.0,Medium SUV,AWD,Q5,Q5
2020 Land Rover Defender,white,DIESEL,LAND-ROVER,AUTOMATIC,117000,76900,QLD,2020,Defender,4.0,4.5,4.0,Large SUV,4WD,DEFENDER,DEFENDER
2005 Toyota Corolla,blue,PETROL,TOYOTA,MANUAL,363100,2990,QLD,2005,Corolla,2.5,2.0,2.0,Sedan,FWD,COROLLA,COROLLA
2017 Toyota Hiace,white,DIESEL,TOYOTA,MANUAL,205000,22250,SA,2017,Hiace,2.5,1.5,4.0,Cargo van,RWD,HIACE,HIACE
2019 Mazda CX-3,grey,PETROL,MAZDA,MANUAL,66000,20000,SA,2019,CX-3,2.5,3.0,2.0,Compact SUV,FWD,CX-3,CX-3
2013 Hyundai i20,red,PETROL,HYUNDAI,MANUAL,132890,2500,SA,2013,i20,2.0,2.0,1.0,Hatchback,FWD,I20,I20
2007 Toyota Hilux,white,PETROL,TOYOTA,AUTOMATIC,213656,13000,SA,2007,Hilux,3.0,2.0,4.0,Dual-Cab UTE,4WD,HILUX,HILUX
2017 Mitsubishi Triton,grey,DIESEL,MITSUBISHI,AUTOMATIC,125000,24000,SA,2017,triton,3.5,2.5,4.0,Dual-Cab UTE,4WD,TRITON,TRITON
2013 Toyota Corolla,white,PETROL,TOYOTA,AUTOMATIC,161000,15800,NSW,2013,Corolla,2.5,2.5,2.0,Sedan,FWD,COROLLA,COROLLA
2010 Subaru Tribeca,grey,PETROL,SUBARU,AUTOMATIC,174400,7900,NSW,2010,Tribeca,3.5,3.0,4.0,Large SUV,AWD,TRIBECA,TRIBECA
2017 Subaru XV,black,PETROL,SUBARU,AUTOMATIC,87000,17500,NSW,2017,XV,2.5,3.0,2.0,Compact SUV,AWD,XV,XV
2022 Toyota Hilux rugged X,grey,DIESEL,TOYOTA,AUTOMATIC,55244,63800,NSW,2022,hilux rugged x,3.5,3.0,4.5,Dual-Cab UTE,4WD,HILUX,HILUX-RUGGED-X
2014 Volkswagen Scirocco,blue,OTHER,VOLKSWAGEN,AUTOMATIC,70000,24500,NSW,2014,Scirocco,3.5,3.0,2.0,Hatchback,FWD,SCIROCCO,SCIROCCO
2016 BMW X4,white,PETROL,BMW,AUTOMATIC,160000,25000,VIC,2016,X4,3.5,4.0,3.0,SUV,AWD,X4,X4
2009 Holden Commodore,white,OTHER,HOLDEN,AUTOMATIC,235000,4200,VIC,2009,Commodore,3.0,2.5,4.0,Sedan,RWD,COMMODORE,COMMODORE
2021 Ford transit,blue,DIESEL,FORD,AUTOMATIC,60000,41900,WA,2021,transit,3.0,1.5,5.0,Cargo Van,RWD,TRANSIT,TRANSIT
2008 Honda Accord,brown,PETROL,HONDA,AUTOMATIC,236550,6000,WA,2008,Accord,3.0,3.5,3.0,Sedan,FWD,ACCORD,ACCORD
2012 Ford Ranger,white,DIESEL,FORD,MANUAL,214000,16000,WA,2012,Ranger,3.5,2.5,4.0,Dual-Cab UTE,4WD,RANGER,RANGER
2009 Land Rover Discovery,blue,PETROL,LAND-ROVER,AUTOMATIC,317550,3800,WA,2009,Discovery,3.0,4.0,5.0,Large SUV,4WD,DISCOVERY,DISCOVERY
2008 Toyota Yaris,silver,PETROL,TOYOTA,AUTOMATIC,144000,6000,VIC,2008,Yaris,2.0,2.0,1.0,Hatchback,FWD,YARIS,YARIS
2013 Ford Ranger,white,DIESEL,FORD,AUTOMATIC,198000,6500,WA,2013,Ranger,3.5,2.5,4.0,Dual-Cab UTE,4WD,RANGER,RANGER
2011 BMW X3,white,DIESEL,BMW,AUTOMATIC,215000,3700,QLD,2011,X3,3.5,4.0,3.0,Compact SUV,AWD,X3,X3
2014 Toyota Yaris,blue,OTHER,TOYOTA,AUTOMATIC,243000,5999,QLD,2014,Yaris,2.0,2.0,1.0,Hatchback,FWD,YARIS,YARIS
2020 Holden Holden Colorado,white,DIESEL,HOLDEN,AUTOMATIC,92000,33500,QLD,2020,Holden Colorado,3.5,2.5,4.0,Dual-Cab UTE,4WD,COLORADO,COLORADO
2015 Audi A5,black,PETROL,AUDI,AUTOMATIC,118900,21000,QLD,2015,A5,3.5,4.0,3.0,Coupe,AWD,A5,A5
2010 Nissan Navara,grey,PETROL,NISSAN,AUTOMATIC,225000,3000,VIC,2010,Navara,3.0,2.5,4.0,Dual-Cab UTE,4WD,NAVARA,NAVARA
2003 MINI cooper,gold,PETROL,MINI,AUTOMATIC,203060,3750,VIC,2003,Cooper,3.5,3.5,1.5,Hatchback,FWD,COOPER,COOPER
2021 Renault Master,white,DIESEL,RENAULT,AUTOMATIC,111000,37500,QLD,2021,Master,2.0,1.5,5.0,Cargo Van,FWD,MASTER,MASTER
2021 Mitsubishi Outlander,white,PETROL,MITSUBISHI,AUTOMATIC,76000,28500,VIC,2021,Outlander,2.5,2.5,4.0,Medium SUV,AWD,OUTLANDER,OUTLANDER
2003 Subaru Impreza,grey,PETROL,SUBARU,AUTOMATIC,286000,3300,VIC,2003,Impreza,3.0,2.0,2.0,Sedan,AWD,IMPREZA,IMPREZA
2008 Toyota Corolla,white,PETROL,TOYOTA,AUTOMATIC,225000,5750,NSW,2008,Corolla,2.5,2.5,2.0,Sedan,FWD,COROLLA,COROLLA
2004 Toyota Corolla,silver,PETROL,TOYOTA,AUTOMATIC,270000,3600,NSW,2004,Corolla,2.0,2.5,2.0,Hatchback,FWD,COROLLA,COROLLA
2020 Mercedes-Benz GLA 45 S ,grey,PETROL,MERCEDES-BENZ,AUTOMATIC,53621,69880,NSW,2020,gla 45 s,4.5,4.0,2.0,Compact SUV,AWD,GLA,GLA-45-S
2015 Renault Kangoo,white,DIESEL,RENAULT,MANUAL,44500,15000,NSW,2015,Kangoo,2.0,2.0,3.0,Cargo Van,FWD,KANGOO,KANGOO
2010 Kia Rio,grey,PETROL,KIA,AUTOMATIC,73000,7400,SA,2010,Rio,2.0,2.0,1.0,Hatchback,FWD,RIO,RIO
2009 Subaru Impreza,white,PETROL,SUBARU,AUTOMATIC,224000,5500,NSW,2009,Impreza,2.5,2.0,2.0,Hatchback,AWD,IMPREZA,IMPREZA
2018 Jeep Cherokee Blackhawk (4x4),black,PETROL,JEEP,AUTOMATIC,184000,12000,WA,2018,cherokee blackhawk (4x4),3.2,3.5,3.0,Medium SUV,4WD,CHEROKEE,CHEROKEE
2010 Mazda CX-7,grey,PETROL,MAZDA,AUTOMATIC,201495,5000,SA,2010,CX-7,3.0,3.0,3.0,SUV,AWD,CX-7,CX-7
2014 Kia Cerato,black,PETROL,KIA,AUTOMATIC,220000,6800,SA,2014,Cerato,2.5,2.5,2.0,Sedan,FWD,CERATO,CERATO
2020 BMW X1,black,DIESEL,BMW,AUTOMATIC,89700,26997,WA,2020,X1,3.0,3.5,2.0,Compact SUV,AWD,X1,X1
2020 Toyota Landcruiser 200,white,DIESEL,TOYOTA,AUTOMATIC,145680,79970,SA,2020,Landcruiser 200,3.8,4.0,5.0,Large SUV,4WD,LANDCRUISER,LANDCRUISER-200
2013 Mitsubishi Lancer,white,PETROL,MITSUBISHI,MANUAL,162832,9000,QLD,2013,Lancer,2.5,2.0,2.0,Sedan,FWD,LANCER,LANCER
2023 Ford Ranger,black,DIESEL,FORD,AUTOMATIC,30574,55990,QLD,2023,Ranger,4.0,3.5,4.0,Dual-Cab UTE,4WD,RANGER,RANGER
2021 Toyota Hilux,grey,DIESEL,TOYOTA,AUTOMATIC,54325,59900,VIC,2021,Hilux,3.5,2.5,4.0,Dual-Cab UTE,4WD,HILUX,HILUX
2016 Toyota Hilux,silver,DIESEL,TOYOTA,AUTOMATIC,220924,29500,VIC,2016,Hilux,3.5,2.5,4.0,Dual-Cab UTE,4WD,HILUX,HILUX
2008 Holden Commodore,red,PETROL,HOLDEN,AUTOMATIC,320000,2500,VIC,2008,Commodore,3.0,2.5,4.0,Sedan,RWD,COMMODORE,COMMODORE
2003 Ford Falcon,red,PETROL,FORD,MANUAL,190000,7000,NSW,2003,Falcon,3.0,2.5,4.0,Sedan,RWD,FALCON,FALCON
2006 Nissan Patrol,gold,DIESEL,NISSAN,AUTOMATIC,216000,30000,NSW,2006,Patrol,3.0,2.5,4.0,Large SUV,4WD,PATROL,PATROL
2011 Ford Falcon,blue,PETROL,FORD,AUTOMATIC,230000,5000,NSW,2011,Falcon,3.5,2.5,4.0,Sedan,RWD,FALCON,FALCON
2013 Volkswagen Golf,white,PETROL,VOLKSWAGEN,AUTOMATIC,170000,3000,WA,2013,Golf,3.2,3.5,2.0,Hatchback,FWD,GOLF,GOLF
